지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C)
108,서울,1970-01,-4.8,0,-8.8,8.9,-20.2
108,서울,1970-02,-.2,4.7,-3.9,12,-10.8
108,서울,1970-03,.4,4.8,-3.2,16,-7.3
108,서울,1970-04,12.2,18.3,7.1,26,.8
108,서울,1970-05,18.7,24.6,13.8,29.8,10
108,서울,1970-06,20.5,25.1,16.9,30,13.4
108,서울,1970-07,23,26.5,20.5,32.2,15.2
108,서울,1970-08,25.9,29.9,22.9,35,20.1
108,서울,1970-09,21.2,26,17.5,31.2,7.9
108,서울,1970-10,14.9,20.4,10.2,25.6,.5
108,서울,1970-11,5.7,10.4,1.4,18.2,-11.9
108,서울,1970-12,-1,2.9,-4.6,11.6,-11.2
108,서울,1971-01,-2.4,1.7,-5.7,9.2,-16.1
108,서울,1971-02,-.7,3.5,-4.2,13.2,-12.4
108,서울,1971-03,2,6.6,-1.5,20.2,-11.6
108,서울,1971-04,11.2,17,6.5,24.1,.6
108,서울,1971-05,16.6,22.1,12,31.2,7
108,서울,1971-06,21.6,26,18.2,30.4,13
108,서울,1971-07,23.9,27.3,21.3,32,18.6
108,서울,1971-08,24.6,28.6,21.5,33.2,15.9
108,서울,1971-09,20.6,25.2,16.8,29.6,9.7
108,서울,1971-10,13,18.7,8,24.1,2.5
108,서울,1971-11,8.7,13.4,4.8,21.3,-8.8
108,서울,1971-12,-1.2,2.8,-4.7,11.5,-10
108,서울,1972-01,.8,4.5,-2.1,13,-9.1
108,서울,1972-02,-.6,3,-3.5,8.4,-9.6
108,서울,1972-03,5.3,10.3,1.4,18,-7.7
108,서울,1972-04,11.5,16.7,6.9,23.5,-4.3
108,서울,1972-05,16.4,21.3,11.7,26.2,6.4
108,서울,1972-06,21.7,27.4,17.2,30.7,13.7
108,서울,1972-07,25.7,30,22.1,35.6,17.5
108,서울,1972-08,23.1,27.1,19.7,32.1,15.8
108,서울,1972-09,19,24,14.8,27.2,9.5
108,서울,1972-10,13.8,19.2,9.1,26,.5
108,서울,1972-11,5.2,9.3,1.6,18.7,-8.1
108,서울,1972-12,.6,4.7,-2.9,12,-12
108,서울,1973-01,.4,4.2,-2.5,11.3,-11.3
108,서울,1973-02,.6,5.2,-3.2,14.4,-9.4
108,서울,1973-03,4.5,10,.4,20.8,-5.3
108,서울,1973-04,12.4,17.6,8,27.7,.9
108,서울,1973-05,17.4,22.9,12.8,27.8,9.5
108,서울,1973-06,21.4,26.1,17.8,30.8,12.9
108,서울,1973-07,26.8,31.2,23.6,34.5,19.7
108,서울,1973-08,25.9,29.8,23,35.2,21.2
108,서울,1973-09,20.3,25,16.5,28.6,8.3
108,서울,1973-10,13,18.1,8.7,24.9,2.2
108,서울,1973-11,4.7,9.3,.8,16.9,-7.1
108,서울,1973-12,-3,1.7,-7,10.8,-17.4
108,서울,1974-01,-2.4,2.5,-6.3,9.3,-15.5
108,서울,1974-02,-2.1,1.9,-5.5,9.9,-14
108,서울,1974-03,3.7,8.9,-.1,19.5,-8
108,서울,1974-04,10.7,15.8,6.2,23.1,.8
108,서울,1974-05,16.7,22.1,12.1,29.3,7
108,서울,1974-06,19.7,25.1,15.5,31.1,9.7
108,서울,1974-07,23.5,27.2,20.9,30.7,18.2
108,서울,1974-08,25.1,29.4,21.8,33.9,15.7
108,서울,1974-09,20.6,25.8,16.5,29.9,11.2
108,서울,1974-10,12.6,17.9,7.8,23.2,0
108,서울,1974-11,5.4,10.5,1.3,20.3,-4.8
108,서울,1974-12,-.5,3.7,-4.1,10.3,-10.2
108,서울,1975-01,-2.7,1.8,-6.3,7,-11.8
108,서울,1975-02,-.8,4,-4.5,10.6,-9.7
108,서울,1975-03,4.4,9.7,.5,15.8,-5
108,서울,1975-04,13.3,19.3,8.4,29,1.2
108,서울,1975-05,16.7,22.2,12.3,27.7,7.8
108,서울,1975-06,21.4,26.7,17.5,32.4,13.2
108,서울,1975-07,24.9,28.8,22,33.4,18.4
108,서울,1975-08,27,31.9,23.4,35.3,20.4
108,서울,1975-09,22.6,27.1,19,31.5,13.6
108,서울,1975-10,15.4,20.6,11.2,25.6,5.4
108,서울,1975-11,9,13.8,5.2,20.7,-6.4
108,서울,1975-12,-1.6,2.8,-5,14.8,-10.8
108,서울,1976-01,-3.8,.7,-7.8,8.5,-16.3
108,서울,1976-02,2.8,7.1,-.7,14.5,-6.4
108,서울,1976-03,4.8,10.1,1,15.2,-6.6
108,서울,1976-04,11.3,17,6.7,25,.1
108,서울,1976-05,16.7,22.7,11.5,32.2,5.5
108,서울,1976-06,21.3,26.9,17.2,34.8,13.7
108,서울,1976-07,23.1,27.7,19.7,33.5,12.9
108,서울,1976-08,23.7,27.6,20.9,32,16.4
108,서울,1976-09,19.9,25.3,15.4,30.2,11
108,서울,1976-10,13.7,19,9.2,25.1,-1.5
108,서울,1976-11,3.5,8,-.4,19.4,-6.3
108,서울,1976-12,.4,4.6,-3.4,12.2,-18.5
108,서울,1977-01,-6.7,-2.5,-10.1,4.2,-15.8
108,서울,1977-02,-2.4,2.6,-6.6,15,-16.8
108,서울,1977-03,5.4,11.1,.7,22,-11.5
108,서울,1977-04,12.5,18.2,7.3,26.7,2.4
108,서울,1977-05,17.4,23,12.4,29.3,6.8
108,서울,1977-06,22.5,27.9,17.9,34.6,13.7
108,서울,1977-07,26,30.1,22.9,35,18.3
108,서울,1977-08,24.6,29.3,20.6,33.3,17.1
108,서울,1977-09,21.5,26.7,17.4,31.1,8.8
108,서울,1977-10,16.7,22.7,11.7,28.8,5.6
108,서울,1977-11,7.6,11.8,3.8,20.2,-4.3
108,서울,1977-12,2.4,6.3,-.9,13.7,-9.4
108,서울,1978-01,-2.4,1.7,-6,7.4,-13.3
108,서울,1978-02,-2.5,2,-6.2,11,-16
108,서울,1978-03,4.2,9.2,-.2,17.4,-8.2
108,서울,1978-04,11.5,17.2,6.6,25,.4
108,서울,1978-05,18.5,25.1,12.9,29.8,7.2
108,서울,1978-06,21.9,26.9,18.2,30.7,12.5
108,서울,1978-07,26.4,30.1,23.3,36.1,18.2
108,서울,1978-08,25.8,29.8,23.1,34.4,19.2
108,서울,1978-09,20.9,25.8,17.1,30.6,13.4
108,서울,1978-10,14.5,20.1,10,29.2,4.2
108,서울,1978-11,7.9,12.7,4.1,18.2,-5
108,서울,1978-12,1.6,5.6,-1.6,14.6,-10.7
108,서울,1979-01,.9,5.1,-2.8,13.4,-10.9
108,서울,1979-02,.6,5,-2.8,17.4,-13
108,서울,1979-03,6,11.3,2,18.4,-4.1
108,서울,1979-04,11.2,16.2,6.8,23.8,.4
108,서울,1979-05,16.5,22.2,11.6,29.1,8
108,서울,1979-06,21.4,25.4,18.2,28.9,14.4
108,서울,1979-07,24.3,28.5,21.3,32.2,17.5
108,서울,1979-08,25.4,29.5,22,32.6,16.2
