아르헨티나,C,0.2%,0.7%,5.3%,0.1%
오스트레일리아,A,2.5%,2.2%,3.0%,0.6%
오스트리아,A,1.2%,0.7%,3.0%,0.1%
벨기에,A,1.9%,1.8%,4.1%,0.2%
브라질,B,0.6%,1.9%,3.9%,0.5%
불가리아,B,3.6%,3.0%,4.9%,0.1%
캐나다,A,1.8%,1.4%,3.5%,0.7%
중국,C,8.6%,5.8%,6.3%,30.9%
크로아티아,B,4.1%,4.3%,9.2%,0.1%
키프로스,A,5.1%,4.6%,6.6%,0.0%
체코,A,2.5%,0.7%,1.9%,0.2%
덴마크,A,2.6%,2.3%,4.1%,0.2%
에스토니아,B,2.8%,1.5%,1.4%,0.0%
핀란드,A,1.0%,0.5%,1.2%,0.1%
프랑스,A,1.2%,0.9%,3.5%,0.8%
독일,A,1.3%,0.4%,1.6%,1.1%
그리스,B,1.2%,2.0%,6.0%,0.1%
헝가리,B,3.8%,2.5%,3.9%,0.2%
인도,C,8.5%,5.1%,9.2%,16.1%
인도네시아,C,5.4%,3.8%,5.2%,3.4%
아일랜드,A,15.9%,8.5%,8.7%,0.7%
이탈리아,A,1.0%,1.1%,4.8%,0.6%
일본,A,0.8%,0.2%,1.9%,0.8%
Korea, Rep.,A,2.9%,2.1%,2.9%,1.2%
라트비아,B,2.6%,1.5%,3.5%,0.0%
리투아니아,B,3.5%,2.9%,3.0%,0.1%
룩셈부르크,A,2.5%,2.1%,2.7%,0.0%
몰타,B,9.4%,5.8%,9.9%,0.0%
멕시코,C,2.3%,1.0%,4.7%,1.3%
네덜란드,A,2.2%,1.9%,3.8%,0.4%
폴란드,B,4.4%,3.3%,4.5%,1.0%
포르투갈,A,2.3%,2.1%,5.5%,0.2%
루마니아,B,4.6%,2.8%,4.5%,0.5%
러시아,C,1.1%,1.4%,2.6%,1.4%
사우디아라비아,C,2.8%,2.0%,4.5%,1.0%
슬로바키아,B,2.4%,1.5%,2.7%,0.1%
슬로베니아,A,3.4%,2.6%,4.5%,0.1%
남아프리카 공화국,B,2.0%,0.4%,2.5%,0.4%
스페인,A,2.2%,1.3%,5.4%,0.9%
스웨덴,A,2.4%,1.9%,3.1%,0.3%
튀르키예,B,6.6%,5.7%,8.4%,2.6%
영국,A,1.7%,1.1%,4.9%,1.0%
미국,A,2.5%,2.2%,3.7%,9.0%
