Point Number,Latitude,Longitude
1,35.1201088,129.102016
2,35.1201024,129.1020288
3,35.120096,129.1020544
4,35.1200832,129.10208
5,35.1200736,129.1021056
6,35.120064,129.1021312
7,35.1200576,129.1021568
8,35.1200576,129.1021824
9,35.1200512,129.102208
10,35.1200576,129.1022336
11,35.120064,129.1022464
12,35.1200768,129.102272
13,35.1200896,129.1022848
14,35.120096,129.1023104
15,35.1201088,129.102336
16,35.1201184,129.1023616
17,35.120128,129.1023872
18,35.120128,129.1024128
19,35.1201184,129.1024256
20,35.1201024,129.1024384
21,35.1200896,129.1024384
22,35.1200768,129.1024384
23,35.120064,129.1024384
24,35.1200544,129.1024384
25,35.1200448,129.1024128
26,35.120032,129.1024
27,35.120032,129.1023872
28,35.1200288,129.1023616
29,35.1200256,129.102336
30,35.1200256,129.102336
31,35.1200288,129.1023104
32,35.120032,129.1022848
33,35.120032,129.1022592
34,35.1200384,129.1022336
35,35.1200384,129.102208
36,35.1200448,129.1021696
37,35.120048,129.1021568
38,35.1200544,129.1021184
39,35.1200576,129.1021056
1,37.28896,127.1076608
2,37.28896,127.1076608
3,37.2889664,127.107648
4,37.2889728,127.1076224
5,37.288976,127.1075968
6,37.2889856,127.1075712
7,37.288992,127.1075328
8,37.2890016,127.1075072
9,37.2890112,127.1074816
10,37.2890176,127.1074432
11,37.289024,127.1074176
12,37.2890368,127.1073792
13,37.2890432,127.1073536
14,37.2890496,127.107328
15,37.2890592,127.1073024
16,37.2890688,127.1072768
17,37.2890752,127.1072512
18,37.2890848,127.1072256
19,37.2890944,127.1071872
20,37.2891008,127.1071616
21,37.2891104,127.1071232
22,37.28912,127.1070976
23,37.2891232,127.1070592
24,37.2891264,127.1070208
25,37.28912,127.1069952
26,37.2891072,127.1069696
27,37.289088,127.106944
28,37.2890688,127.1069312
29,37.2890432,127.1069184
30,37.2890208,127.1069184
31,37.2889984,127.1069184
32,37.288976,127.1069184
33,37.2889536,127.1069184
34,37.2889376,127.106944
35,37.2889216,127.1069696
36,37.288912,127.1069824
37,37.2889024,127.107008
38,37.2889024,127.1070464
39,37.2889152,127.1070592
40,37.2889312,127.1070848
41,37.2889536,127.1070976
42,37.2889728,127.1071104
43,37.288992,127.1071232
44,37.2890016,127.1071488
45,37.2889984,127.1071744
46,37.2889856,127.1072
47,37.288976,127.1072256
48,37.2889664,127.1072512
49,37.2889536,127.1072768
50,37.2889344,127.1072896
51,37.2889152,127.1073024
52,37.288896,127.1073024
53,37.2888736,127.1072896
54,37.2888512,127.1072768
55,37.288832,127.107264
56,37.2888128,127.1072512
57,37.2887904,127.1072512
58,37.288768,127.1072256
59,37.2887456,127.1072256
60,37.2887232,127.1072128
61,37.2886976,127.1072
62,37.288672,127.1071872
63,37.2886496,127.1071744
64,37.2886272,127.1071616
65,37.2886016,127.1071488
66,37.2885792,127.107136
67,37.2885568,127.1071232
68,37.2885376,127.1070976
69,37.2885248,127.107072
70,37.2885184,127.1070464
71,37.288528,127.1070208
72,37.2885472,127.107008
73,37.2885728,127.1069952
74,37.2885952,127.107008
75,37.2886208,127.107008
76,37.2886464,127.107008
77,37.2886688,127.1069952
78,37.288688,127.1069696
79,37.2886976,127.106944
80,37.2887008,127.1069184
81,37.2886976,127.1068928
82,37.2886976,127.1068672
83,37.288704,127.1068416
84,37.2887168,127.1068032
85,37.288736,127.1067904
86,37.2887584,127.1067776
87,37.2887808,127.1067776
88,37.2888,127.1067904
89,37.2888192,127.106816
90,37.2888256,127.1068288
91,37.2888192,127.1068672
92,37.288816,127.1068928
93,37.2888128,127.1069184
94,37.2888032,127.106944
95,37.2887936,127.1069696
96,37.2887872,127.1069952
97,37.2887808,127.1070336
98,37.2887712,127.1070592
99,37.2887616,127.1070848
100,37.2887488,127.1071104
101,37.2887424,127.107136
102,37.2887296,127.1071616
103,37.2887232,127.1071872
104,37.2887168,127.1072128
105,37.2887072,127.1072384
106,37.2886976,127.107264
107,37.2886848,127.1072768
108,37.288672,127.1073024
109,37.2886528,127.107328
110,37.2886272,127.107328
111,37.288608,127.1073152
112,37.2885888,127.1073024
113,37.2885664,127.1072896
114,37.288544,127.1072768
115,37.288528,127.107264
116,37.2885248,127.107264
117,37.2885312,127.107264
118,37.2885344,127.1072768
119,37.2885312,127.1073024
120,37.288528,127.107328
121,37.2885248,127.1073536
122,37.2885184,127.1073664
123,37.2885248,127.1073536
124,37.2885344,127.107328
125,37.2885408,127.1073152
126,37.2885568,127.1073024
127,37.288576,127.1073024
128,37.2885856,127.1073152
129,37.2885952,127.1073152
130,37.288608,127.1073152
131,37.2886176,127.107328
132,37.2886272,127.107328
133,37.2886368,127.1073408
134,37.2886464,127.1073536
135,37.2886496,127.1073536
136,37.2886528,127.1073792
137,37.2886496,127.1073792
138,37.2886464,127.1074048
139,37.28864,127.1074048
140,37.28864,127.1074304
141,37.2886336,127.1074432
142,37.2886272,127.107456
143,37.2886208,127.107456
144,37.288608,127.1074816
145,37.2886016,127.1074816
146,37.2885888,127.1074816
147,37.288576,127.1074816
148,37.2885696,127.1074816
149,37.2885568,127.1074816
150,37.288544,127.1074688
151,37.2885376,127.1074688
152,37.2885248,127.1074688
153,37.288512,127.1074688
154,37.2884992,127.107456
155,37.2884928,127.107456
156,37.28848,127.1074432
157,37.2884672,127.1074304
158,37.2884544,127.1074304
159,37.288448,127.1074176
160,37.2884352,127.1074048
161,37.2884224,127.1074048
162,37.2884128,127.107392
163,37.2884032,127.107392
164,37.2883968,127.1073792
165,37.2883904,127.1073536
166,37.288384,127.1073536
167,37.288384,127.107328
168,37.288384,127.1073152
169,37.2883872,127.1073024
170,37.2883904,127.1072768
171,37.2883936,127.1072768
172,37.2884,127.1072512
173,37.2884032,127.1072512
174,37.2884096,127.1072256
175,37.2884128,127.1072256
176,37.288416,127.1072
177,37.2884224,127.1072
178,37.2884256,127.1071744
179,37.2884352,127.1071616
180,37.2884448,127.1071616
181,37.2884576,127.1071488
182,37.288464,127.1071488
183,37.2884736,127.1071488
184,37.2884864,127.1071488
185,37.2884992,127.1071616
186,37.2885088,127.1071744
187,37.2885184,127.1071744
188,37.2885312,127.1071744
189,37.2885376,127.1071744
190,37.2885504,127.1072
191,37.2885632,127.1072
192,37.2885696,127.1072
193,37.2885824,127.1072
194,37.2885952,127.1072
195,37.288608,127.1072
196,37.2886208,127.1072256
197,37.2886304,127.1072256
198,37.28864,127.1072256
199,37.2886528,127.1072256
200,37.2886624,127.1072384
201,37.288672,127.1072512
202,37.2886848,127.1072512
203,37.2886976,127.1072512
204,37.2887104,127.1072512
205,37.28872,127.1072512
206,37.2887296,127.1072512
207,37.2887392,127.1072256
208,37.2887456,127.1072256
209,37.2887488,127.1072
210,37.2887552,127.1072
211,37.2887616,127.1071744
212,37.2887616,127.1071744
213,37.288768,127.1071488
214,37.2887744,127.107136
215,37.2887744,127.1071232
216,37.2887808,127.1070976
217,37.2887872,127.1070976
218,37.2887904,127.107072
219,37.2887936,127.107072
220,37.2888,127.1070464
221,37.2888064,127.1070464
222,37.2888064,127.1070208
223,37.2888128,127.1070208
224,37.2888192,127.1069952
225,37.2888192,127.1069952
226,37.2888256,127.1069696
227,37.288832,127.1069568
228,37.2888352,127.106944
229,37.2888384,127.1069184
230,37.2888448,127.1069184
231,37.288848,127.1068928
232,37.2888512,127.1068928
233,37.2888576,127.1068672
234,37.2888608,127.1068672
235,37.2888672,127.1068416
236,37.2888704,127.1068288
237,37.2888736,127.106816
238,37.2888768,127.1067904
239,37.2888736,127.1067904
240,37.2888736,127.1067648
241,37.2888704,127.1067648
242,37.288864,127.1067392
243,37.2888576,127.1067392
244,37.2888512,127.1067264
245,37.2888384,127.1067136
246,37.288832,127.1067136
247,37.2888256,127.1067008
248,37.2888128,127.106688
249,37.2888032,127.106688
250,37.2887904,127.106688
251,37.2887808,127.1066624
252,37.288768,127.1066624
253,37.2887552,127.1066624
254,37.2887424,127.1066624
255,37.2887296,127.1066368
256,37.2887168,127.1066368
257,37.2887104,127.1066368
