Point Number,Latitude,Longitude
2,35.1201247995,129.10199040089
3,35.120124799,129.10199040178
4,35.1201247985,129.10199040267
5,35.120124798,129.10199040356
6,35.1201247975,129.10199040445
7,35.120124797,129.10199040534
8,35.1201247965,129.10199040623
9,35.120124796,129.10199040712
10,35.1201247955,129.10199040801
11,35.120124795,129.1019904089
12,35.1201247945,129.10199040979
13,35.120124794,129.10199041068
14,35.1201247935,129.10199041157
15,35.120124793,129.10199041246
16,35.1201247925,129.10199041335
17,35.120124792,129.10199041424
18,35.1201247915,129.10199041513
19,35.120124791,129.10199041602
20,35.1201247905,129.10199041691
21,35.12012479,129.1019904178
22,35.1201247895,129.10199041869
23,35.120124789,129.10199041958
24,35.1201247885,129.10199042047
25,35.120124788,129.10199042136
26,35.1201247875,129.10199042225
27,35.120124787,129.10199042314
28,35.1201247865,129.10199042403
29,35.120124786,129.10199042492
30,35.1201247855,129.10199042581
31,35.120124785,129.1019904267
32,35.1201247845,129.10199042759
33,35.120124784,129.10199042848
34,35.1201247835,129.10199042937
35,35.120124783,129.10199043026
36,35.1201247825,129.10199043115
37,35.120124782,129.10199043204
38,35.1201247815,129.10199043293
39,35.120124781,129.10199043382
40,35.1201247805,129.10199043471
41,35.12012478,129.1019904356
42,35.1201247795,129.10199043649
43,35.120124779,129.10199043738
44,35.1201247785,129.10199043827
45,35.120124778,129.10199043916
46,35.1201247775,129.10199044005
47,35.120124777,129.10199044094
48,35.1201247765,129.10199044183
49,35.120124776,129.10199044272
50,35.1201247755,129.10199044361
51,35.120124775,129.1019904445
52,35.1201247745,129.10199044539
53,35.120124774,129.10199044628
54,35.1201247735,129.10199044717
55,35.120124773,129.10199044806
56,35.1201247725,129.10199044895
57,35.120124772,129.10199044984
58,35.1201247715,129.10199045073
59,35.120124771,129.10199045162
60,35.1201247705,129.10199045251
61,35.12012477,129.1019904534
62,35.1201247695,129.10199045429
63,35.120124769,129.10199045518
64,35.1201247685,129.10199045607
65,35.120124768,129.10199045696
66,35.1201247675,129.10199045785
67,35.120124767,129.10199045874
68,35.1201247665,129.10199045963
69,35.120124766,129.10199046052
70,35.1201247655,129.10199046141
71,35.120124765,129.1019904623
72,35.1201247645,129.10199046319
73,35.120124764,129.10199046408
74,35.1201247635,129.10199046497
75,35.120124763,129.10199046586
76,35.1201247625,129.10199046675
77,35.120124762,129.10199046764
78,35.1201247615,129.10199046853
79,35.120124761,129.10199046942
80,35.1201247605,129.10199047031
81,35.12012476,129.1019904712
82,35.1201247595,129.10199047209
83,35.120124759,129.10199047298
84,35.1201247585,129.10199047387
85,35.120124758,129.10199047476
86,35.1201247575,129.10199047565
87,35.120124757,129.10199047654
88,35.1201247565,129.10199047743
89,35.120124756,129.10199047832
90,35.1201247555,129.10199047921
91,35.120124755,129.1019904801
92,35.1201247545,129.10199048099
93,35.120124754,129.10199048188
94,35.1201247535,129.10199048277
95,35.120124753,129.10199048366
96,35.1201247525,129.10199048455
97,35.120124752,129.10199048544
98,35.1201247515,129.10199048633
99,35.120124751,129.10199048722
100,35.1201247505,129.10199048811
101,35.12012475,129.101990489
102,35.1201247495,129.10199048989
103,35.120124749,129.10199049078
104,35.1201247485,129.10199049167
105,35.120124748,129.10199049256
106,35.1201247475,129.10199049345
107,35.120124747,129.10199049434
108,35.1201247465,129.10199049523
109,35.120124746,129.10199049612
110,35.1201247455,129.10199049701
111,35.120124745,129.1019904979
112,35.1201247445,129.10199049879
113,35.120124744,129.10199049968
114,35.1201247435,129.10199050057
115,35.120124743,129.10199050146
116,35.1201247425,129.10199050235
117,35.120124742,129.10199050324
118,35.1201247415,129.10199050413
119,35.120124741,129.10199050502
120,35.1201247405,129.10199050591
121,35.12012474,129.1019905068
122,35.1201247395,129.10199050769
123,35.120124739,129.10199050858
124,35.1201247385,129.10199050947
125,35.120124738,129.10199051036
126,35.1201247375,129.10199051125
127,35.120124737,129.10199051214
128,35.1201247365,129.10199051303
129,35.120124736,129.10199051392
130,35.1201247355,129.10199051481
131,35.120124735,129.1019905157
132,35.1201247345,129.10199051659
133,35.120124734,129.10199051748
134,35.1201247335,129.10199051837
135,35.120124733,129.10199051926
136,35.1201247325,129.10199052015
137,35.120124732,129.10199052104
138,35.1201247315,129.10199052193
139,35.120124731,129.10199052282
140,35.1201247305,129.10199052371
141,35.12012473,129.1019905246
142,35.1201247295,129.10199052549
143,35.120124729,129.10199052638
144,35.1201247285,129.10199052727
145,35.120124728,129.10199052816
146,35.1201247275,129.10199052905
147,35.120124727,129.10199052994
148,35.1201247265,129.10199053083
149,35.120124726,129.10199053172
150,35.1201247255,129.10199053261
151,35.120124725,129.1019905335
152,35.1201247245,129.10199053439
153,35.120124724,129.10199053528
154,35.1201247235,129.10199053617
155,35.120124723,129.10199053706
156,35.1201247225,129.10199053795
157,35.120124722,129.10199053884
158,35.1201247215,129.10199053973
159,35.120124721,129.10199054062
160,35.1201247205,129.10199054151
161,35.12012472,129.1019905424
162,35.1201247195,129.10199054329
163,35.120124719,129.10199054418
164,35.1201247185,129.10199054507
165,35.120124718,129.10199054596
166,35.1201247175,129.10199054685
167,35.120124717,129.10199054774
168,35.1201247165,129.10199054863
169,35.120124716,129.10199054952
170,35.1201247155,129.10199055041
171,35.120124715,129.1019905513
